id,element,threat_description,element_type,stride,mitre_atlas,owasp_top_10_for_llm,mitigation,cvss_vector,cvss_score,threat_source,validation,justification,mitigated
23,azurerm_function_app.function_app_front,Attacker spoofs the front-end host to deliver malicious scripts to clients.,Process,Spoofing,T1556: Modify Authentication Process,A07: Identification and Authentication Failures,Enable custom domain HTTPS with certificate pinning; validate Host header; use WAF.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,9.1,llm,true,,false
24,azurerm_function_app.function_app_front,Deployed React bundle tampered to inject malware or exfiltration code.,Process,Tampering,T1041: Exfiltration Over C2 Channel,A08: Software and Data Integrity Failures,Validate package integrity via checksums; restrict blob write permissions; enable CI/CD signing.,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H,9.1,llm,true,,false
25,azurerm_function_app.function_app_front,No trace of front-end deployments or user file changes allows repudiation of malicious updates.,Process,Repudiation,T1098: Account Manipulation,A09: Security Logging and Monitoring Failures,Enable deployment logs in App Service; write logs to immutable storage and SIEM.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,6.5,llm,true,,false
26,azurerm_function_app.function_app_front,CORS wildcard on front-end exposes user credentials and tokens to malicious origins.,Process,Information Disclosure,T1537: Transfer Data to Cloud Account,A02: Cryptographic Failures,Restrict CORS origins to known domains; implement CSP; remove wildcard headers.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5,llm,true,,false
27,azurerm_function_app.function_app_front,High volume of static asset requests causes cold start delays or service throttling.,Process,Denial of Service,T1499: Endpoint Denial of Service,,Use CDN in front of static assets; enable caching; apply rate limiting in WAF.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,llm,true,,false
28,azurerm_function_app.function_app_front,Exploit of Node package vulnerability to gain code execution within the service context.,Process,Elevation of Privileges,T1190: Exploit Public-Facing Application,A06: Vulnerable and Outdated Components,Keep runtime and libraries up to date; enable npm audit; use application sandboxing.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,llm,true,,false
29,azurerm_virtual_machine.dev-vm,SSH host key spoofing allows man-in-the-middle interception of credentials.,Process,Spoofing,T1557: Man-in-the-Middle,A07: Identification and Authentication Failures,Enable SSH certificate validation; pin host keys; restrict SSH to known IPs.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,9.1,llm,true,,false
30,azurerm_virtual_machine.dev-vm,Attacker who compromises SSH credentials modifies system binaries or scripts.,Process,Tampering,T1055: Process Injection,A08: Software and Data Integrity Failures,Use image attestation and disk encryption; enforce OS-level file integrity monitoring.,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H,8.6,llm,true,,false
31,azurerm_virtual_machine.dev-vm,Lack of detailed audit logs on VM allows attacker to deny having executed malicious commands.,Process,Repudiation,,A09: Security Logging and Monitoring Failures,Deploy and configure VM agent to forward audit logs to SIEM; enable Azure Monitor logs.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,6.5,llm,true,,false
32,azurerm_virtual_machine.dev-vm,"Sensitive data on VM (scripts, credentials) exposed to unauthorized users or services.",Process,Information Disclosure,T1552: Unsecured Credentials,A02: Cryptographic Failures,Encrypt disks; remove credentials from disk; use Key Vault with managed identity.,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:C/C:H/I:N/A:N,7.1,llm,true,,false
33,azurerm_virtual_machine.dev-vm,SSH brute-force attempts or resource exhaustion cause VM service unavailability.,Process,Denial of Service,T1110: Brute Force,,Restrict NSG to known IP ranges; enable SSH rate limiting; use SSH keys only.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,llm,true,,false
34,azurerm_virtual_machine.dev-vm,Exploit of kernel or SUID binary vulnerability to escalate privileges to root.,Process,Elevation of Privileges,T1068: Exploitation for Privilege Escalation,A06: Vulnerable and Outdated Components,Regularly patch OS; disable SUID binaries; use security baseline configurations.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,10,llm,true,,false
35,azurerm_virtual_machine_extension.test,Malicious extension binary puppets as legitimate CustomScriptExtension to run rogue code.,Process,Spoofing,T1204: User Execution,A08: Software and Data Integrity Failures,Restrict extension publisher IDs; validate extension signatures; use CRP policies.,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,8.8,llm,true,,false
36,azurerm_virtual_machine_extension.test,Extension script payload in blob is tampered to include malicious commands.,Process,Tampering,T1036: Masquerading,A02: Cryptographic Failures,Use SAS with limited scope; sign scripts; enable storage encryption and firewall rules.,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H,6.8,llm,true,,false
37,azurerm_virtual_machine_extension.test,Absence of logs for extension execution allows attacker to repudiate script actions.,Process,Repudiation,,A09: Security Logging and Monitoring Failures,Enable diagnostics on extensions; forward logs to Log Analytics with retention policies.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,6.5,llm,true,,false
38,azurerm_virtual_machine_extension.test,Extension writes sensitive data or command output to unprotected storage.,Process,Information Disclosure,T1020: Automated Exfiltration,A05: Security Misconfiguration,Encrypt outputs; restrict container ACL; scrub sensitive data from logs.,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:N/A:N,4.5,llm,true,,false
39,azurerm_virtual_machine_extension.test,Faulty or malicious extension script loops or crashes cause VM CPU/IO exhaustion.,Process,Denial of Service,T1499: Endpoint Denial of Service,,Validate script logic; limit execution time; monitor VM resource metrics.,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:N/I:N/A:H,4.5,llm,true,,false
40,azurerm_virtual_machine_extension.test,Extension runs with elevated context and can execute OS-level privilege escalation.,Process,Elevation of Privileges,T1548: Abuse Elevation Control Mechanism,A04: Insecure Design,Use least-privileged execution context; audit extension permission model; remove unnecessary rights.,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H,8.6,llm,true,,false
41,azurerm_automation_account.dev_automation_account_test,Attacker spoofs Automation Account identity to submit unauthorized runbooks.,Process,Spoofing,T1078: Valid Accounts,A07: Identification and Authentication Failures,Limit identity assignments; require MFA for portal; audit identity usage.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,10,llm,true,,false
42,azurerm_automation_account.dev_automation_account_test,Automation Account configuration tampered to add malicious modules or connections.,Process,Tampering,T1562: Impair Defenses,A05: Security Misconfiguration,Lock account configuration via Azure Policy; enable resource locks.,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,7.2,llm,true,,false
43,azurerm_automation_account.dev_automation_account_test,Lack of audit trail for Automation Account actions allows repudiation.,Process,Repudiation,,A09: Security Logging and Monitoring Failures,Enable Automation Account auditing; send logs to Log Analytics with retention.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,6.5,llm,true,,false
44,azurerm_automation_account.dev_automation_account_test,"Credentials or assets in Automation Account (modules, certificates) exposed to attackers.",Process,Information Disclosure,T1537: Transfer Data to Cloud Account,A02: Cryptographic Failures,Use Key Vault for credentials; restrict runbook asset access; enforce HTTPS access.,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:N/A:N,6.8,llm,true,,false
45,azurerm_automation_account.dev_automation_account_test,Flood of runbook executions exhausts Automation Account quota causing denial of service.,Process,Denial of Service,T1499: Endpoint Denial of Service,,Implement runbook execution limits; monitor job count; use throttling policies.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,llm,true,,false
46,azurerm_automation_account.dev_automation_account_test,Automation Account identity abused to elevate privileges in the subscription.,Process,Elevation of Privileges,T1548: Abuse Elevation Control Mechanism,A05: Security Misconfiguration,Assign least-privilege role; use PIM for elevated roles; monitor RBAC changes.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,10,llm,true,,false
47,azurerm_automation_runbook.dev_automation_runbook,Attacker spoofs runbook identity to execute malicious scripts against Azure resources.,Process,Spoofing,T1078: Valid Accounts,A07: Identification and Authentication Failures,Enforce managed identity constraints; restrict runbook assignments.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,10,llm,true,,false
48,azurerm_automation_runbook.dev_automation_runbook,Runbook code tampered in storage before execution injecting harmful commands.,Process,Tampering,T1553: Subvert Trust Controls,A08: Software and Data Integrity Failures,Store runbooks in VC-backed repo; enable checksum verification; restrict storage write.,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H,8.2,llm,true,,false
49,azurerm_automation_runbook.dev_automation_runbook,Absence of tamper-proof logs for runbook schedule and execution leads to repudiation.,Process,Repudiation,,A09: Security Logging and Monitoring Failures,Forward runbook logs to immutable SIEM; enable audit policies.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,6.5,llm,true,,false
50,azurerm_automation_runbook.dev_automation_runbook,Runbook outputs include secrets or keys leaked in cleartext.,Process,Information Disclosure,T1537: Transfer Data to Cloud Account,A02: Cryptographic Failures,Mask sensitive outputs; use secure variables from Key Vault; scrub logs.,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:N/A:N,6.8,llm,true,,false
51,azurerm_automation_runbook.dev_automation_runbook,Long-running or looping runbook jobs exhaust quota causing DoS for other automations.,Process,Denial of Service,T1499: Endpoint Denial of Service,,Set job timeout; monitor runbook health; enforce retry policies.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,llm,true,,false
52,azurerm_automation_runbook.dev_automation_runbook,"Runbook executes under high-privilege identity, enabling subscription-wide control abuse.",Process,Elevation of Privileges,T1068: Exploitation for Privilege Escalation,A04: Insecure Design,Use least-privilege identity; separate roles for different runbooks; monitor identity activity.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,10,llm,true,,false
53,null_resource.file_populate_data,Unauthorized script invocation spoofs file-populate operation against database.,Process,Spoofing,T1204: User Execution,A07: Identification and Authentication Failures,Validate script origin; restrict execution to CI host; code-sign scripts.,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N,7.1,llm,true,,false
54,null_resource.file_populate_data,Local create-table.py script tampered to execute arbitrary DB commands.,Process,Tampering,T1059: Command and Scripting Interpreter,A08: Software and Data Integrity Failures,Store scripts in VCS; verify checksums; restrict local modifications.,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H,8.6,llm,true,,false
55,null_resource.file_populate_data,Lack of logging on data population scripts allows developer to repudiate changes.,Process,Repudiation,,A09: Security Logging and Monitoring Failures,Log script actions to central store; include timestamps and user IDs.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,6.5,llm,true,,false
56,null_resource.file_populate_data,"Script outputs CosmosDB key in logs, leaking credentials.",Process,Information Disclosure,T1537: Transfer Data to Cloud Account,A02: Cryptographic Failures,Mask sensitive parameters; use environment variables securely; no plaintext logs.,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:C/C:H/I:N/A:N,6.3,llm,true,,false
57,null_resource.file_populate_data,Script floods CosmosDB with repeated calls causing throughput exhaustion.,Process,Denial of Service,T1499: Endpoint Denial of Service,,Add rate-limiting; use SDK retries; monitor RU consumption.,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,6.5,llm,true,,false
58,null_resource.file_populate_data,"Script runs with admin credentials, enabling privilege escalation to subscription.",Process,Elevation of Privileges,T1548: Abuse Elevation Control Mechanism,A04: Insecure Design,Use least-privilege service principal; limit script credentials scope.,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H,8.6,llm,true,,false
59,null_resource.env_replace,Spoofed env_replace script injects malicious environment variables into code.,Process,Spoofing,T1556: Modify Authentication Process,A07: Identification and Authentication Failures,Lock script files; verify integrity; store in secured repo.,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N,7.1,llm,true,,false
60,null_resource.env_replace,Configuration patcher tampered to insert wrong connection strings or keys.,Process,Tampering,T1553: Subvert Trust Controls,A08: Software and Data Integrity Failures,Use signed config templates; validate JSON schema.,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H,8.6,llm,true,,false
61,null_resource.env_replace,Lack of trace for env_replace execution leads to repudiation of environment changes.,Process,Repudiation,,A09: Security Logging and Monitoring Failures,Log every patch action with user identity and timestamp.,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N,5.4,llm,true,,false
62,null_resource.env_replace,"Patch process writes secrets into code comments or logs, exposing them.",Process,Information Disclosure,T1537: Transfer Data to Cloud Account,A02: Cryptographic Failures,Scrub logs; exclude sensitive fields; use secure logging.,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:C/C:H/I:N/A:N,6.3,llm,true,,false
63,null_resource.env_replace,"Faulty patch script crashes and prevents deployment, causing service disruption.",Process,Denial of Service,,,Validate scripts before run; include unit tests; implement retries.,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,6.5,llm,true,,false
64,null_resource.env_replace,"Script runs under elevated user harming file system, escalating privileges.",Process,Elevation of Privileges,T1548: Abuse Elevation Control Mechanism,A04: Insecure Design,Run scripts under least-privilege account; containerize patch process.,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H,8.6,llm,true,,false
65,null_resource.file_replacement_upload,Malicious file_replacement_upload script spoofs asset references to exfil endpoints.,Process,Spoofing,T1041: Exfiltration Over C2 Channel,A07: Identification and Authentication Failures,Code-sign uploader; restrict execution host; review script logic.,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N,7.1,llm,true,,false
66,null_resource.file_replacement_upload,Upload process tampered to target wrong container or overwrite production assets.,Process,Tampering,T1490: Inhibit System Recovery,A05: Security Misconfiguration,Use Azure Policy to restrict uploads; enable RBAC on containers.,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H,6.8,llm,true,,false
67,null_resource.file_replacement_upload,No audit of file uploads allows denial of malicious asset changes.,Process,Repudiation,,A09: Security Logging and Monitoring Failures,Enable storage analytics logs; correlate with script invocations.,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N,5.4,llm,true,,false
68,null_resource.file_replacement_upload,Upload leaks SAS or connection string in stdout or error logs.,Process,Information Disclosure,T1537: Transfer Data to Cloud Account,A02: Cryptographic Failures,Redact secrets from logs; use environment variables securely.,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:C/C:H/I:N/A:N,6.3,llm,true,,false
69,null_resource.file_replacement_upload,"Script overwhelms storage ingress with large uploads, causing DoS.",Process,Denial of Service,,,Limit file size; enforce throttling; monitor container metrics.,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,6.5,llm,true,,false
70,null_resource.file_replacement_upload,"Uploader runs with high privileges, enabling system-level escalation.",Process,Elevation of Privileges,T1548: Abuse Elevation Control Mechanism,A04: Insecure Design,Run under least-privileged user; containerize upload step.,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H,8.6,llm,true,,false
71,null_resource.clientid_replacement,Malicious clientid_replacement script spoofs client ID in runbook causing misattribution.,Process,Spoofing,T1556: Modify Authentication Process,A07: Identification and Authentication Failures,Code-sign scripts; enforce script integrity checks; restrict execution hosts.,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N,7.1,llm,true,,false
72,null_resource.clientid_replacement,Script is tampered to inject incorrect or malicious runbook parameters.,Process,Tampering,T1553: Subvert Trust Controls,A08: Software and Data Integrity Failures,Store templates in VCS; verify checksum before execution.,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H,8.6,llm,true,,false
73,null_resource.clientid_replacement,Lack of audit for clientid_replacement leads to repudiation of runbook identity changes.,Process,Repudiation,,A09: Security Logging and Monitoring Failures,Log patch events with user and timestamp; forward to SIEM.,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N,5.4,llm,true,,false
74,null_resource.clientid_replacement,"Script exposes client secret or IDs in console or logs, leaking credentials.",Process,Information Disclosure,T1537: Transfer Data to Cloud Account,A02: Cryptographic Failures,Mask secrets; use secure variables; scrub logs.,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:C/C:H/I:N/A:N,6.3,llm,true,,false
75,null_resource.clientid_replacement,"Faulty script halts provisioning, causing deployment interruptions (DoS).",Process,Denial of Service,,,Validate scripts; include error handling and retries.,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,6.5,llm,true,,false
76,null_resource.file_replacement_vm_ip,"Spoofed VM IP replacement script injects wrong IP, misrouting SSH traffic.",Process,Spoofing,T1556: Modify Authentication Process,A07: Identification and Authentication Failures,Verify script source; sign scripts; restrict execution environment.,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N,7.1,llm,true,,false
77,null_resource.file_replacement_vm_ip,Tampering of config_update script causes sensitive data exposure or misconfiguration.,Process,Tampering,T1553: Subvert Trust Controls,A08: Software and Data Integrity Failures,Use version control; verify checksums; restrict write access to blobs.,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H,8.6,llm,true,,false
78,null_resource.file_replacement_vm_ip,Absence of logs for IP injection leads to repudiation of network configuration changes.,Process,Repudiation,,A09: Security Logging and Monitoring Failures,Enable logging of blob updates and script runs; correlate with CI logs.,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N,5.4,llm,true,,false
79,null_resource.file_replacement_vm_ip,"Script prints VM IP or credentials in console, leaking to logs.",Process,Information Disclosure,T1537: Transfer Data to Cloud Account,A02: Cryptographic Failures,Remove secrets from output; use environment refs; secure logs.,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:C/C:H/I:N/A:N,6.3,llm,true,,false
80,null_resource.file_replacement_vm_ip,"Script error prevents VM provisioning, causing operational DoS.",Process,Denial of Service,,,Test scripts locally; implement retries and failure notifications.,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,6.5,llm,true,,false
81,random_id.randomId,Random ID generator is spoofed to produce predictable identifiers.,Process,Spoofing,,A08: Software and Data Integrity Failures,Use cryptographically secure random functions; avoid custom implementations.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,9.1,llm,true,,false
82,random_id.randomId,Tampering with random generator library yields collisions or weak IDs.,Process,Tampering,,A08: Software and Data Integrity Failures,Pin provider versions; verify provider checksums.,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:N,6.5,llm,true,,false
83,random_id.randomId,Lack of tamper log means rogue modifications go undetected.,Process,Repudiation,,A09: Security Logging and Monitoring Failures,Enable provider audit logs; monitor changes to provider binaries.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,6.5,llm,true,,false
84,random_id.randomId,Weak random ID leaks internal naming scheme disclosing deployment details.,Process,Information Disclosure,,A02: Cryptographic Failures,Use UUIDv4 or secure-hash suffix; avoid sequential IDs.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.3,llm,true,,false
