id,element,threat_description,element_type,stride,mitre_atlas,owasp_top_10_for_llm,mitigation,cvss_vector,cvss_score,threat_source,validation,justification,mitigated
16,azurerm_app_service_plan.app_service_plan,Compromise of one Function App allows privilege escalation to manage the entire App Service Plan.,Process,Elevation of Privileges,,,"Use separate plans for different trust levels, apply Just-In-Time access and RBAC.",CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,8.1,llm,true,,false
17,azurerm_function_app.function_app,An attacker spoofs management requests to swap function app code or settings.,Process,Spoofing,,,"Secure deployment endpoints with Azure AD and TLS client certs, validate callers.",CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,5.4,llm,true,,false
18,azurerm_function_app.function_app,An attacker tampers function app configuration or code package in blob storage before startup.,Process,Tampering,,,"Use signed packages, enable storage account immutability, and scan packages.",CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,8.1,llm,true,,false
19,azurerm_function_app.function_app,Unauthorized or unlogged changes to function app settings hamper traceability.,Process,Repudiation,,,Enable Activity Logs for function app settings and integrate with SIEM.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0,llm,true,,false
20,azurerm_function_app.function_app,"Sensitive environment variables (e.g., AZ_DB_KEY) are exposed in logs or via debug endpoints.",Process,Information Disclosure,,,"Mask sensitive app settings, disable verbose debugging, and scope credentials.",CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,6.5,llm,true,,false
21,azurerm_function_app.function_app,Traffic spikes or malicious payloads cause the backend function to crash or throttle.,Process,Denial of Service,,,"Implement request throttling, quotas, input validation, and WAF policies.",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,llm,true,,false
22,azurerm_function_app.function_app,Compromised function code or config allows escape to host or access control elevation.,Process,Elevation of Privileges,,,"Enable sandboxing, minimize host-level permissions, and apply code scanning.",CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,8.8,llm,true,,false
23,azurerm_function_app.function_app_front,An attacker spoofs front-end deployment endpoint to push malicious UI code.,Process,Spoofing,,,"Secure CI/CD pipeline with Azure AD, validate package signatures before deploy.",CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,5.4,llm,true,,false
24,azurerm_function_app.function_app_front,UI code or configuration is tampered in transit or at rest before function startup.,Process,Tampering,,,"Use storage immutability, enforce HTTPS-only blob access, and scan packages.",CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,8.1,llm,true,,false
25,azurerm_function_app.function_app_front,"Front-end app settings changes are not audited, allowing untracked malicious updates.",Process,Repudiation,,,Enable App Service audit logs and integrate with log analytics.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0,llm,true,,false
26,azurerm_function_app.function_app_front,Client-side secrets or API URLs are exposed in console logs or error pages.,Process,Information Disclosure,,,"Remove secrets from client bundle, use safe error handling, and enforce CSP.",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5,llm,true,,false
27,azurerm_function_app.function_app_front,A flood of asset requests crashes the front-end host or increases latency.,Process,Denial of Service,,,"Use CDN with rate limiting, enable DDoS Protection, and cache assets.",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,llm,true,,false
28,azurerm_function_app.function_app_front,Compromised front-end allows injection of malicious scripts leading to privilege escalation in browser context.,Process,Elevation of Privileges,,,"Implement strict CSP, sanitize inputs, and enable Subresource Integrity.",CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:N,9.3,llm,true,,false
29,azurerm_virtual_machine.dev-vm,An attacker spoofs SSH client identity to gain shell access.,Process,Spoofing,,,"Use key-based SSH with strong passphrases, disable root login, and restrict IPs.",CVSS:3.1/AV:N/AC:M/PR:N/UI:N/S:U/C:H/I:H/A:H,,llm,true,,false
30,azurerm_virtual_machine.dev-vm,An attacker tampers with VM disk or startup scripts to install backdoors.,Process,Tampering,,,"Enable Azure Disk Encryption, use signed extensions, and enforce image integrity.",CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,8.8,llm,true,,false
31,azurerm_virtual_machine.dev-vm,"Malicious changes made via console or API are not logged, enabling repudiation.",Process,Repudiation,,,Enable Azure Activity Logs and guest OS audit logs with secure forwarding.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0,llm,true,,false
32,azurerm_virtual_machine.dev-vm,Sensitive VM metadata or SSH sessions are exposed due to improper logging or debug tools.,Process,Information Disclosure,,,"Disable metadata endpoint access from inside VM, secure serial console, and audit logs.",CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,6.5,llm,true,,false
33,azurerm_virtual_machine.dev-vm,"Resource exhaustion (CPU, disk I/O) on VM causes service disruption.",Process,Denial of Service,,,"Monitor resource metrics, set quotas, and apply host-based intrusion protection.",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,llm,true,,false
34,azurerm_virtual_machine.dev-vm,Compromise of application on VM leads to privilege escalation to host/system account.,Process,Elevation of Privileges,,,"Use least-privilege service accounts, apply kernel hardening and regular patching.",CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,7.8,llm,true,,false
35,azurerm_virtual_machine_extension.test,An attacker spoofs the CustomScriptExtension endpoint to deliver malicious scripts.,Process,Spoofing,,,Validate Azure extensions with signed packages; restrict extension updates via RBAC.,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,8.1,llm,true,,false
36,azurerm_virtual_machine_extension.test,An adversary tampers with scripts fetched from blob storage before execution on the VM.,Process,Tampering,,,"Use blob storage immutability policies, signed script packages, and checksums.",CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,8.1,llm,true,,false
37,azurerm_virtual_machine_extension.test,"Execution events of the extension are not logged or attributed, enabling repudiation of malicious actions.",Process,Repudiation,,,Enable diagnostics on VM extensions and forward logs to a central SIEM.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0,llm,true,,false
38,azurerm_virtual_machine_extension.test,"Sensitive data in scripts (e.g., storage SAS) is exposed in logs or stdout.",Process,Information Disclosure,,,Avoid embedding secrets in scripts; use managed identities and redact logs.,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,6.5,llm,true,,false
39,azurerm_virtual_machine_extension.test,Malicious or malformed script payloads crash the extension and block provisioning.,Process,Denial of Service,,,"Validate script inputs, use timeouts, and isolate extension execution.",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,llm,true,,false
40,azurerm_virtual_machine_extension.test,Script runs with elevated privileges and installs persistent backdoors on the VM.,Process,Elevation of Privileges,,,"Run extensions under least-privilege identity, disable unnecessary privileges, and audit changes.",CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,7.8,llm,true,,false
41,azurerm_automation_account.dev_automation_account_test,An attacker spoofs Automation Account API calls to modify runbook or credentials.,Process,Spoofing,,,"Enforce Azure AD authentication, restrict access via RBAC, and enable OAuth tokens.",CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,5.4,llm,true,,false
42,azurerm_automation_account.dev_automation_account_test,"Configuration of the Automation Account is tampered (e.g., identity assignments changed).",Process,Tampering,,,"Lock resource groups, apply Azure Policy for identity assignments, and enable activity logs.",CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,8.1,llm,true,,false
43,azurerm_automation_account.dev_automation_account_test,"Changes to Automation Account (e.g., permission grants) are not auditable, enabling repudiation.",Process,Repudiation,,,"Enable Azure Activity Logs, designate approved approvers, and require change requests.",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0,llm,true,,false
44,azurerm_automation_account.dev_automation_account_test,Secrets or credentials stored in Automation Account runbooks are exposed to unauthorized users.,Process,Information Disclosure,,,"Use Azure Key Vault for secrets, enable runbook encryption, and restrict viewer roles.",CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,6.5,llm,true,,false
45,azurerm_automation_account.dev_automation_account_test,"High load of runbook jobs saturates Automation Account, delaying critical tasks.",Process,Denial of Service,,,"Set maximum concurrent jobs, monitor queue length, and throttle runbook triggers.",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,llm,true,,false
46,azurerm_automation_account.dev_automation_account_test,Compromised runbook or account identity elevates privileges to manage subscription resources.,Process,Elevation of Privileges,,,"Grant minimal RBAC roles to Automation identity, use Just-In-Time access, and rotate credentials.",CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,8.8,llm,true,,false
47,azurerm_automation_runbook.dev_automation_runbook,An attacker spoofs runbook execution requests to run arbitrary scripts under the account identity.,Process,Spoofing,,,"Require MFA on runbook start, verify caller identity, and use approval workflows.",CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,5.4,llm,true,,false
48,azurerm_automation_runbook.dev_automation_runbook,"Runbook code is tampered (e.g., injection of malicious PowerShell commands).",Process,Tampering,,,"Use source control for runbook, enable change reviews, and sign scripts.",CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,8.1,llm,true,,false
49,azurerm_automation_runbook.dev_automation_runbook,Runbook executions cannot be repudiated due to missing execution logs or metadata.,Process,Repudiation,,,Enable runbook logging and audit trails in a write-once storage account.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0,llm,true,,false
50,azurerm_automation_runbook.dev_automation_runbook,"Sensitive parameters (e.g., client ID) passed to runbook are exposed in logs.",Process,Information Disclosure,,,"Use secure variables in Automation, mask parameters in logs, and rotate IDs.",CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,6.5,llm,true,,false
51,azurerm_automation_runbook.dev_automation_runbook,Adversary floods runbook jobs to exhaust quotas and prevent legitimate automation.,Process,Denial of Service,,,"Implement job concurrency limits, alerts on runbook failures, and approval gating.",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,llm,true,,false
52,azurerm_automation_runbook.dev_automation_runbook,Runbook executes code that escalates to higher privileged roles (owner) via Automation identity.,Process,Elevation of Privileges,,,"Limit Automation identity RBAC scope, apply PIM for elevation, and review assignments.",CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,8.8,llm,true,,false
53,null_resource.file_populate_data,Adversary spoofs or replaces local create-table.py to populate malicious data in CosmosDB.,Process,Spoofing,,,"Verify script integrity with checksums, restrict local file modifications, and use private repo.",CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,7.1,llm,true,,false
54,null_resource.file_populate_data,The data population script is tampered to leak credentials or inject malicious documents.,Process,Tampering,,,"Use signed scripts, run in isolated container, and scan code before execution.",CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,7.1,llm,true,,false
55,null_resource.file_populate_data,"Population runs are not logged, allowing denial of execution or denial of malicious changes.",Process,Repudiation,,,"Log every run with metadata, write to tamper-evident storage, and require approvals.",CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0,llm,true,,false
56,null_resource.file_populate_data,"Output of the script (e.g., endpoint, key) is exposed on local console or logs.",Process,Information Disclosure,,,Suppress secrets in logs; retrieve credentials securely via Key Vault.,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,5.5,llm,true,,false
57,null_resource.file_populate_data,"Large or malformed dataset insertion exhausts CosmosDB throughput, causing service lag.",Process,Denial of Service,,,"Rate-limit inserts, validate input size, and monitor RU consumption.",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,llm,true,,false
58,null_resource.file_populate_data,Script runs with default user permissions escalate to database admin via connection string.,Process,Elevation of Privileges,,,"Use least-privilege database user, rotate keys, and restrict script access.",CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,7.8,llm,true,,false
59,null_resource.env_replace,Attacker spoofs the environment variable replacement script to inject malicious settings.,Process,Spoofing,,,"Validate script origin, use version-controlled templates, and restrict local write access.",CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,7.1,llm,true,,false
60,null_resource.env_replace,Tampering with local.settings.json patching introduces insecure or hardcoded credentials.,Process,Tampering,,,"Use secret references (Key Vault), enforce JSON schema validation, and audit changes.",CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,7.1,llm,true,,false
61,null_resource.env_replace,"Changes to environment variable injection are not tracked, enabling repudiation of config errors.",Process,Repudiation,,,"Version control patched files, log patch events, and require code review.",CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0,llm,true,,false
62,null_resource.env_replace,Patched environment files expose connection strings or keys in local workspace logs.,Process,Information Disclosure,,,"Redact secrets in logs, use secure environment injection, and limit workspace access.",CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,5.5,llm,true,,false
63,null_resource.env_replace,Large or malformed environment files cause provisioning to hang or fail.,Process,Denial of Service,,,"Validate file structure and size before patching, enforce timeouts.",CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,6.2,llm,true,,false
64,null_resource.env_replace,The replacement process runs with elevated shell privileges to write to protected directories.,Process,Elevation of Privileges,,,"Run scripts under non‐privileged user, isolate in container, and limit filesystem access.",CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,7.8,llm,true,,false
65,null_resource.file_replacement_upload,An attacker spoofs or replaces the upload script to inject malicious asset URLs.,Process,Spoofing,,,"Store scripts in version control, verify checksums before execution.",CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,7.1,llm,true,,false
66,null_resource.file_replacement_upload,"Tampering with the patch process corrupts React HTML/JS, breaking application behavior.",Process,Tampering,,,Validate file integrity with schema checks and signed templates.,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,7.1,llm,true,,false
67,null_resource.file_replacement_upload,"Upload actions are not logged, allowing repudiation of malicious or faulty uploads.",Process,Repudiation,,,Log all upload operations with timestamps and script hashes to an immutable store.,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0,llm,true,,false
68,null_resource.file_replacement_upload,"Patch output (URLs, tokens) is printed to console, exposing internal endpoints.",Process,Information Disclosure,,,"Redact sensitive information, use secure logging, and environment variables for endpoints.",CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,5.5,llm,true,,false
69,null_resource.file_replacement_upload,"Malformed or large patch operations cause the script to hang or crash, blocking CI/CD.",Process,Denial of Service,,,"Validate input sizes, implement timeouts, and retry logic.",CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,6.2,llm,true,,false
70,null_resource.file_replacement_upload,Script runs with elevated privileges and overwrites critical local files.,Process,Elevation of Privileges,,,"Run scripts under a non‐privileged user, sandbox file operations, and enforce directory restrictions.",CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,7.8,llm,true,,false
71,null_resource.clientid_replacement,An attacker spoofs the replacement script to embed malicious client IDs or scopes.,Process,Spoofing,,,"Use authenticated retrieval of scripts, verify signatures, and restrict script sources.",CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,7.1,llm,true,,false
72,null_resource.clientid_replacement,"Tampering with client ID insertion corrupts the runbook, causing it to target wrong resources.",Process,Tampering,,,Validate runbook syntax and parameter ranges before upload.,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,7.1,llm,true,,false
73,null_resource.clientid_replacement,"Runbook patches are not logged, enabling repudiation of injected client IDs.",Process,Repudiation,,,"Audit all patch operations, store diffs in version control.",CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0,llm,true,,false
74,null_resource.clientid_replacement,Embedded client IDs in local files are exposed in console output or logs.,Process,Information Disclosure,,,Mask sensitive parameters in logs and use secure variable stores.,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,5.5,llm,true,,false
75,null_resource.clientid_replacement,"Incorrect or malicious client ID injection halts runbook provisioning, causing delays.",Process,Denial of Service,,,"Implement validation checks, fallback defaults, and alert on failures.",CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,6.2,llm,true,,false
76,null_resource.clientid_replacement,"The replacement script runs with elevated privileges, modifying restricted runbook resources.",Process,Elevation of Privileges,,,Execute under a least-privilege user and enforce file ACLs.,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,7.8,llm,true,,false
77,null_resource.file_replacement_vm_ip,An attacker spoofs the VM IP patch script to inject rogue SSH host entries.,Process,Spoofing,,,"Validate IP sources, sign scripts, and restrict script modifications.",CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,7.1,llm,true,,false
78,null_resource.file_replacement_vm_ip,Tampering with the SSH config file introduces incorrect or malicious host mappings.,Process,Tampering,,,Enforce config file integrity with checksums and restrict write permissions.,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,7.1,llm,true,,false
79,null_resource.file_replacement_vm_ip,"VM IP patch actions are not logged, allowing undetected changes.",Process,Repudiation,,,Log all config edits with user context in an immutable audit log.,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0,llm,true,,false
80,null_resource.file_replacement_vm_ip,Patched SSH configs may leak VM IP or user details in logs.,Process,Information Disclosure,,,Mask or encrypt sensitive fields in output and logs.,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,5.5,llm,true,,false
81,null_resource.file_replacement_vm_ip,"Malformed patch causes provisioning failure, blocking VM access.",Process,Denial of Service,,,"Validate patch format, implement rollbacks, and set execution timeouts.",CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,6.2,llm,true,,false
82,null_resource.file_replacement_vm_ip,"Script runs with root privileges, allowing arbitrary file system modifications.",Process,Elevation of Privileges,,,"Run under a restricted user, restrict filesystem ACLs, and audit script actions.",CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,7.8,llm,true,,false
83,random_id.randomId,An attacker manipulates the random seed to produce predictable or colliding IDs.,Process,Tampering,,,"Use cryptographically secure RNG, manage seed entropy, and validate outputs.",CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,8.1,llm,true,,false
84,random_id.randomId,Predictable IDs allow an adversary to enumerate or guess resource names.,Process,Information Disclosure,,,Use GUIDs or secure random suffixes and avoid leaking naming patterns.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,6.5,llm,true,,false
85,random_id.randomId,"Random generation failure halts resource naming, blocking Terraform apply.",Process,Denial of Service,,,"Implement fallback ID logic, retry on failure, and monitor errors.",CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,6.2,llm,true,,false
86,random_id.randomId,"ID generation errors are not logged, enabling repudiation of naming issues.",Process,Repudiation,,,Audit RNG successes/failures with timestamps and error details.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0,llm,true,,false
87,random_id.randomId,IDs derived from sensitive data leak context in naming conventions.,Process,Information Disclosure,,,Ensure randomness is decoupled from sensitive inputs and rotate if needed.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.3,llm,true,,false
88,random_id.randomId,Privileged RNG operations exploited to escalate privileges on the host.,Process,Elevation of Privileges,,,"Run RNG in user context, sandbox the provider plugin, and audit privileges.",CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,7.1,llm,true,,false
89,azurerm_network_interface_security_group_association.example,An attacker spoofs NSG association requests to bind the NIC to a malicious NSG.,Process,Spoofing,,,Enforce Azure AD authentication and validate resource IDs before binding.,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,5.4,llm,true,,false
90,azurerm_network_interface_security_group_association.example,"Tampering with the association changes firewall rules, exposing VM to unauthorized traffic.",Process,Tampering,,,Use Azure Policy to enforce approved NSGs and lock resource bindings.,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,8.1,llm,true,,false
91,azurerm_network_interface_security_group_association.example,"Association changes are not logged, allowing repudiation of security group modifications.",Process,Repudiation,,,"Enable Activity Logs for NIC and NSG assignments, forward to SIEM.",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0,llm,true,,false
92,azurerm_network_interface_security_group_association.example,Logs of NSG assignments leak internal network structure and security posture.,Process,Information Disclosure,,,"Restrict log access, mask sensitive fields, and encrypt log storage.",CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,4.3,llm,true,,false
93,azurerm_network_interface_security_group_association.example,Removal of NSG association causes network outage for VM.,Process,Denial of Service,,,"Implement change approval workflows, alerts on NSG disassociation.",CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,6.5,llm,true,,false
94,azurerm_network_interface_security_group_association.example,Malicious NSG associations elevate VM’s network privileges to reach sensitive endpoints.,Process,Elevation of Privileges,,,"Apply least-privilege NSGs, use Just-In-Time network access, and audit association changes.",CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,8.1,llm,true,,false
95,azurerm_cosmosdb_account.db,Adversary tampers with Cosmos DB account keys or configuration to gain unauthorized access or disrupt service.,Data Store,Tampering,,,"Enable Azure Key Vault integration for keys, restrict key rotation and editing via RBAC, and enable resource locks.",CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,8.1,llm,true,,false
96,azurerm_cosmosdb_account.db,"Unlogged modifications to the Cosmos DB account (e.g., consistency policy or geo-replication) enable repudiation.",Data Store,Repudiation,,,Enable Azure Activity Log for all account changes and forward to an immutable audit store.,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0,llm,true,,false
